epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,50884.3,1.1945,0.97273,1.25497,0.70978,0.58057,0.65155,0.39985,1.48326,1.11277,1.49383,0.000166149,0.000166149,0.000166149
113,51330.8,1.19135,0.97316,1.25287,0.68237,0.60413,0.65699,0.4014,1.4851,1.11316,1.49655,0.000158667,0.000158667,0.000158667
114,51777.1,1.19021,0.97252,1.25441,0.69445,0.59833,0.6565,0.40047,1.48647,1.11444,1.49871,0.000151336,0.000151336,0.000151336
115,52223.3,1.19015,0.97134,1.25253,0.69451,0.59967,0.65652,0.40062,1.48807,1.11589,1.50133,0.000144161,0.000144161,0.000144161
116,52669.5,1.18806,0.96573,1.25164,0.69372,0.59981,0.65638,0.40079,1.48915,1.11561,1.50334,0.000137143,0.000137143,0.000137143
117,53115.9,1.18523,0.96359,1.24891,0.69351,0.60165,0.65591,0.40125,1.4904,1.11718,1.50517,0.000130287,0.000130287,0.000130287
118,53562.7,1.17845,0.95841,1.24597,0.69184,0.60219,0.65614,0.40054,1.49199,1.118,1.50737,0.000123596,0.000123596,0.000123596
119,54011,1.18343,0.95892,1.24652,0.69186,0.60216,0.65663,0.39394,1.49344,1.11927,1.50962,0.000117072,0.000117072,0.000117072
120,54457.5,1.17478,0.95028,1.24271,0.69322,0.6016,0.6565,0.39498,1.49456,1.11985,1.5114,0.000110718,0.000110718,0.000110718
121,54903.7,1.17241,0.94734,1.23907,0.70003,0.60117,0.65731,0.39437,1.4959,1.12076,1.5134,0.000104537,0.000104537,0.000104537
122,55350.1,1.17236,0.95159,1.2433,0.69887,0.60119,0.65768,0.39416,1.49706,1.12158,1.51539,9.85311e-05,9.85311e-05,9.85311e-05
123,55798,1.17453,0.94846,1.2419,0.70178,0.60079,0.65714,0.39433,1.49784,1.12246,1.51674,9.2704e-05,9.2704e-05,9.2704e-05
124,56221.2,1.16892,0.94213,1.23779,0.70128,0.6002,0.65654,0.39418,1.49906,1.1234,1.51869,8.70577e-05,8.70577e-05,8.70577e-05
125,56643.6,1.16633,0.9434,1.23722,0.71664,0.59,0.65638,0.39451,1.49981,1.12396,1.51987,8.15947e-05,8.15947e-05,8.15947e-05
126,57066.4,1.16521,0.94141,1.23569,0.71806,0.5901,0.65681,0.3945,1.50123,1.12439,1.52182,7.63174e-05,7.63174e-05,7.63174e-05
127,57488.5,1.16529,0.9426,1.23832,0.72029,0.59006,0.65667,0.39462,1.50267,1.12509,1.52394,7.12282e-05,7.12282e-05,7.12282e-05
128,57911.1,1.16838,0.94046,1.23583,0.73105,0.57021,0.65423,0.39385,1.50304,1.12613,1.52474,6.63292e-05,6.63292e-05,6.63292e-05
129,58333.7,1.16222,0.93465,1.23399,0.73035,0.59014,0.65473,0.39334,1.50373,1.12659,1.52545,6.16227e-05,6.16227e-05,6.16227e-05
130,58756.5,1.16004,0.93588,1.23271,0.72451,0.59156,0.65409,0.39331,1.50433,1.12772,1.52656,5.71106e-05,5.71106e-05,5.71106e-05
131,59179.6,1.15717,0.92783,1.22985,0.7308,0.59018,0.65441,0.3933,1.5053,1.12844,1.52838,5.2795e-05,5.2795e-05,5.2795e-05
132,59601.4,1.15625,0.92944,1.23053,0.69909,0.60205,0.65475,0.39369,1.50659,1.12965,1.53004,4.86777e-05,4.86777e-05,4.86777e-05
133,60023.9,1.15543,0.92905,1.23042,0.69879,0.60506,0.65499,0.39344,1.50793,1.12977,1.53189,4.47606e-05,4.47606e-05,4.47606e-05
134,60446.8,1.15305,0.92907,1.22984,0.69879,0.60533,0.6548,0.39397,1.50907,1.13025,1.53385,4.10454e-05,4.10454e-05,4.10454e-05
135,60869.8,1.15357,0.92752,1.22938,0.69971,0.60516,0.65494,0.39371,1.50966,1.13042,1.53489,3.75337e-05,3.75337e-05,3.75337e-05
136,61292.4,1.15376,0.92657,1.23004,0.70101,0.60508,0.65524,0.39344,1.51043,1.13107,1.53615,3.4227e-05,3.4227e-05,3.4227e-05
137,61714.7,1.15122,0.92908,1.22819,0.71695,0.59836,0.65512,0.39359,1.51113,1.13205,1.5373,3.11268e-05,3.11268e-05,3.11268e-05
138,62137.1,1.15071,0.92457,1.22726,0.7178,0.5947,0.65473,0.39388,1.51157,1.13337,1.53817,2.82345e-05,2.82345e-05,2.82345e-05
139,62559.4,1.1475,0.91998,1.22616,0.71785,0.59865,0.65511,0.39371,1.51201,1.13434,1.53903,2.55513e-05,2.55513e-05,2.55513e-05
140,62981.5,1.14662,0.92534,1.22709,0.71818,0.59817,0.65424,0.39334,1.51231,1.13507,1.5394,2.30784e-05,2.30784e-05,2.30784e-05
141,63403.2,1.05622,0.70877,1.19717,0.71348,0.59837,0.65353,0.39291,1.51331,1.13529,1.5406,2.08169e-05,2.08169e-05,2.08169e-05
142,63824.2,1.03195,0.68057,1.17826,0.71998,0.59721,0.6531,0.39191,1.51378,1.136,1.54118,1.87678e-05,1.87678e-05,1.87678e-05
143,64245,1.02778,0.6782,1.177,0.73164,0.58514,0.65304,0.39246,1.5138,1.13689,1.54143,1.6932e-05,1.6932e-05,1.6932e-05
